probe,GSM3516780_blood_age62
cg06327515,0.2307861
cg06361108,0.04288345
cg06363129,0.5689412
cg06419846,0.962553612
cg06448705,0.2819606
cg06458239,0.07407036
cg06462220,0.221595
cg06462291,0.08727415
cg06493994,0.1566472
cg06500161,0.5915673
cg06513075,0.05388762
cg06533629,0.09217588
cg06557358,0.05999304
cg06637774,0.367363625
cg06638451,0.5858385
cg06639320,0.4926088
cg06648759,0.5905231
cg06685111,0.439023
cg06688848,0.03243576
cg06690548,0.9103429
cg06737494,0.1925627
cg06738602,0.1472221
cg06796779,0.417646362
cg06810647,0.2175048
cg06836772,0.1486139
cg06874016,0.3178688
cg06888746,0.077028711
cg06908778,0.1418768
cg06926735,0.02515285
cg06952310,0.7698001
cg06958034,0.04867522
cg06975499,0.03906922
cg06993413,0.07414475
cg06994793,0.02307397
cg07016730,0.8168589
cg07038400,0.6588886
cg07073964,0.6326799
cg07082267,0.3903672
cg07095347,0.2850209
cg07110949,0.954163799
cg07115626,0.248314685
cg07158339,0.3952021
cg07172885,0.2310213
cg07180649,0.1083032
cg07211259,0.2184811
cg07236943,0.06957484
cg07265300,0.06177672
cg07285276,0.8399435
cg07291563,0.03118097
cg07303143,0.05155191
cg07312601,0.6455026
cg07337598,0.7725399
cg07388493,0.530998
cg07408456,0.3045577
cg07455279,0.2978313
cg07484827,0.9209648
cg07494518,0.05988157
cg07498421,0.06682204
cg07502389,0.1894945
cg07547549,0.3844974
cg07553761,0.433238704
cg07583137,0.7299869
cg07589899,0.4867924
cg07595943,0.983707348
cg07654934,0.0315749
cg07663789,0.05658837
cg07730301,0.3243959
cg07770222,0.7548974
cg07817698,0.06970372
cg07849904,0.05411693
cg07850604,0.08224702
cg07906193,0.7176012
cg07929310,0.04915018
cg07955995,0.022602363
cg08030082,0.5578294
cg08035942,0.07311846
cg08067365,0.02499621
cg08074477,0.6468577
cg08090772,0.03397425
cg08097417,0.1598458
cg08124722,0.9349926
cg08166272,0.4303638
cg08169325,0.04712085
cg08186124,0.02161941
cg08212685,0.220948927
cg08234504,0.2426272
cg08251036,0.9230594
cg08251399,0.7444397
cg08280936,0.1083308
cg08331960,0.301754
cg08370996,0.1058439
cg08413469,0.04944335
cg08415592,0.2246297
cg08420066,0.3140678
cg08424423,0.9100327
cg08434234,0.016568696
cg08454546,0.939161
cg08475827,0.2077706
cg08487374,0.03685857
cg08529529,0.1255851
cg08540945,0.067767804
cg08586737,0.4998596
cg08587542,0.192204
cg08622677,0.1984409
cg08654655,0.5444967
cg08668790,0.08098721
cg08694544,0.1237153
cg08771731,0.03751125
cg08872493,0.6856473
cg08896629,0.02350313
cg08899632,0.02550907
cg08900043,0.09823782
cg08911208,0.7151916
cg08949164,0.1025495
cg08965235,0.2202456
cg08993878,0.6294568
cg09019938,0.03570364
cg09025210,0.7090335
cg09045681,0.1069565
cg09096950,0.3955624
cg09118625,0.7495664
cg09133026,0.8099836
cg09155044,0.7055844
cg09183146,0.4131844
cg09191327,0.04864955
cg09196959,0.08652644
cg09254939,0.061124
cg09294589,0.04605049
cg09304040,0.0275036
cg09322949,0.06602541
cg09404633,0.2572041
cg09413557,0.02504835
cg09418283,0.01633712
cg09428349,0.05832441
cg09434995,0.8898987
cg09436502,0.09487634
cg09441152,0.0328983
cg09480837,0.8669501
cg09499020,0.2494435
cg09509673,0.9365629
cg09548179,0.03183456
cg09556292,0.05086386
cg09630437,0.05396983
cg09646392,0.4074862
cg09671951,0.039994434
cg09722397,0.03285632
cg09722555,0.935957
cg09748749,0.4918679
cg09799873,0.2157735
cg09809672,0.4483532
cg09851465,0.1766757
cg09885951,0.03359813
cg09892203,0.008976262
cg09993145,0.509374148
cg10045881,0.6389816
cg10052840,0.5883305
cg10158181,0.02855624
cg10192196,0.013764634
cg10202457,0.1447299
cg10225525,0.9497771
cg10266490,0.2287844
cg10281002,0.1535266
cg10345936,0.8459168
cg10376763,0.9087829
cg10377274,0.924247
cg10486998,0.09951917
cg10498798,0.3680992
cg10501210,0.626196671
cg10523019,0.2235107
cg10570177,0.1715221
cg10586358,0.09415663
cg10591174,0.595992
cg10636246,0.3178822
cg10636297,0.609309
cg10644544,0.017144169
cg10654016,0.0163643
cg10667970,0.03320418
cg10669058,0.4699261
cg10699171,0.6698811
cg10699857,0.1198417
cg10729426,0.073491755
cg10795646,0.2292249
cg10825530,0.373478
cg10837404,0.8810352
cg10855531,0.2448448
cg10865119,0.1784846
cg10878896,0.03881935
cg10900550,0.07831829
cg10917602,0.7305336
cg10920957,0.04986621
cg10922280,0.397969
cg10940099,0.01753118
cg10959651,0.186422
cg11006267,0.097308931
cg11024682,0.4759206
cg11025793,0.06305929
cg11067179,0.8428193
cg11177450,0.05634023
cg11205552,0.3712139
cg11233384,0.2151576
cg11237115,0.03451526
cg11298786,0.07614697
cg11299964,0.3125472
cg11314684,0.3984972
cg11388238,0.03665372
cg11426590,0.01716879
cg11459714,0.028792783
cg11487705,0.02422189
cg11490446,0.08679394
cg11600161,0.04352371
cg11618577,0.6194912
cg11631518,0.06958851
cg11653266,0.02880875
cg11671968,0.9191095
cg11766468,0.892609043
cg11833861,0.1403865
cg11896923,0.1117559
cg11903057,0.0515097
cg11932564,0.021341948
cg12082609,0.314928
cg12105450,0.03915198
cg12140144,0.085590219
cg12145907,0.09120148
cg12177001,0.8836052
cg12188560,0.04108775
cg12238343,0.05294577
cg12247247,0.06660152
cg12261786,0.7901513
cg12265604,0.04960264
cg12269343,0.05831455
cg12289045,0.6319522
cg12303084,0.1972584
cg12324144,0.2548693
cg12328429,0.8948026
cg12351433,0.234771
cg12373771,0.135495
cg12402251,0.1005956
cg12413566,0.891174
cg12459502,0.4344569
cg12473775,0.8583849
cg12530994,0.034667883
cg12608692,0.9340214
cg12616277,0.06489738
cg12743894,0.02267585
cg12753631,0.1719977
cg12757011,0.279064
cg12768605,0.2834066
cg12776156,0.2352349
cg12813792,0.630425218
cg12830694,0.9249886
cg12864235,0.907555
cg12869659,0.2148271
cg12941369,0.3115107
cg12946225,0.1442164
cg12985418,0.03488579
cg12991365,0.3272562
cg13001142,0.7889213
cg13027206,0.1374451
cg13029847,0.06822376
cg13038560,0.9241737
cg13042288,0.8950504
cg13093111,0.7263561
cg13119609,0.7671141
cg13120519,0.043999
cg13129046,0.1593861
cg13216057,0.04361174
cg13218906,0.05988428
cg13221458,0.2931972
cg13258700,0.1707376
cg13269407,0.1286809
cg13296371,0.3792888
cg13302154,0.464123
cg13307384,0.73838
cg13319175,0.9084535
cg13323474,0.03219176
cg13351161,0.4275776
cg13409216,0.02784418
cg13449372,0.9492805
cg13460409,0.379935
cg13509147,0.0859977
cg13510262,0.03384712
cg13514050,0.03028167
cg13547237,0.2974596
cg13550877,0.9341187
cg13564075,0.0280735
cg13571802,0.9284642
cg13586038,0.9236395
cg13587552,0.8535699
cg13613532,0.04469181
cg13631913,0.04926564
cg13649056,0.1587322
cg13654195,0.04380621
cg13656062,0.9232079
cg13656360,0.05889447
cg13683374,0.3218949
cg13700897,0.1441286
cg13718960,0.88444
cg13734401,0.4515933
cg13767001,0.05910871
cg13828047,0.4261769
cg13828440,0.873711
cg13836627,0.1043514
cg13843773,0.02552464
cg13848598,0.4066513
cg13854874,0.2099092
cg13861644,0.5723265
cg13899108,0.4603559
cg13909661,0.977000275
cg13931228,0.06547022
cg13975369,0.3414928
cg13994175,0.04049367
cg14009688,0.5188815
cg14059835,0.09621127
cg14060828,0.1686249
cg14105047,0.03429479
cg14159818,0.08845583
cg14163776,0.2201571
cg14175438,0.1458972
cg14223995,0.1761892
cg14258236,0.9406262
cg14281160,0.02123334
cg14308452,0.8917391
cg14314729,0.3999433
cg14334310,0.519937
cg14345676,0.9311079
cg14350002,0.05362491
cg14396995,0.4668273
cg14408969,0.03257884
cg14409958,0.04849097
cg14411282,0.7791479
cg14423778,0.3407013
cg14424579,0.02014341
cg14467840,0.7889807
cg14473016,0.1365735
cg14501253,0.09336788
cg14522800,0.2385867
cg14550518,0.05335335
cg14556683,0.305666182
cg14565725,0.070977934
cg14597908,0.4844794
cg14614643,0.504891
cg14654875,0.5219606
cg14658362,0.0216406
cg14689355,0.05113445
cg14692377,0.108515384
cg14723032,0.825285099
cg14727952,0.04649337
cg14747225,0.02216159
cg14754581,0.05438905
cg14894144,0.4154793
cg14916213,0.05557938
cg14918082,0.8630574
cg14962509,0.933437603
cg14972143,0.1761857
cg14992253,0.1747781
cg15013019,0.08677331
cg15015340,0.551624378
cg15149655,0.064985349
cg15171237,0.9461273
cg15185286,0.05083044
cg15188939,0.7918857
cg15201877,0.141665
cg15262928,0.02509924
cg15277914,0.404626393
cg15341340,0.032919237
cg15344028,0.6618053
cg15381313,0.9055374
cg15381769,0.04155162
cg15405572,0.2340186
cg15427448,0.014874459
cg15447479,0.06174562
cg15480367,0.281019
cg15489301,0.4916262
cg15498283,0.010047814
cg15547534,0.05274317
cg15551881,0.334206
cg15569512,0.02250976
cg15611364,0.04014301
cg15642326,0.2063163
cg15661409,0.9154435
cg15703512,0.0462675
cg15804973,0.4267553
cg15811427,0.8649216
cg15856055,0.1492877
cg15881088,0.04313644
cg15887846,0.5016444
cg15903282,0.7828453
cg15910502,0.05615572
cg15963417,0.05357471
cg15966757,0.9105301
cg15974053,0.0285966
cg15988232,0.5497381
cg16008966,0.5693374
cg16012294,0.8214459
cg16034652,0.524523
cg16054275,0.4397314
cg16085042,0.04245106
cg16150435,0.8881661
cg16168311,0.1136527
cg16173067,0.9055857
cg16241714,0.014863994
cg16255583,0.6778067
cg16281600,0.6430289
cg16295988,0.0427333
cg16313343,0.1744562
cg16319578,0.1852305
cg16333846,0.8628971
cg16340918,0.02116495
cg16354207,0.1961976
cg16357381,0.04244888
cg16358826,0.1315228
cg16372520,0.3647228
cg16408394,0.03824051
cg16408970,0.06940358
cg16419235,0.143711728
cg16419345,0.05177976
cg16466334,0.9362488
cg16543027,0.07897075
cg16547529,0.5652716
cg16579101,0.0864141
cg16599143,0.7625068
cg16612562,0.5324963
cg16648841,0.790053
cg16713727,0.9069278
cg16717122,0.2281895
cg16718891,0.06446147
cg16728114,0.07267223
cg16743289,0.5925144
cg16744741,0.4033796
cg16816226,0.03839075
cg16854606,0.7227802
cg16867657,0.692133084
cg16899442,0.1669501
cg16933388,0.1668539
cg16983159,0.05628966
cg16984944,0.1973578
cg17009433,0.06388618
cg17038116,0.02935293
cg17063929,0.1985366
cg17099569,0.7924996
cg17110586,0.3380146
cg17129388,0.7751713
cg17133388,0.1283884
cg17243289,0.2069259
cg17266282,0.130100662
cg17274064,0.2100622
cg17285325,0.019232272
cg17321954,0.1569838
cg17324128,0.1151488
cg17338403,0.1467762
cg17431739,0.3051821
cg17526300,0.03559516
cg17536848,0.04019386
cg17589341,0.4912369
cg17605084,0.02833233
cg17627559,0.1363601
cg17641104,0.03463179
cg17655614,0.3311247
cg17686885,0.146951
cg17726022,0.03148715
cg17729667,0.1252664
cg17749443,0.1110758
cg17770886,0.1043859
cg17853587,0.06583574
cg17861230,0.166337196
cg17879376,0.640740854
cg17896249,0.04265787
cg17903544,0.0377844
cg17923358,0.08897189
cg17940013,0.1269542
cg17960516,0.0692257
cg17966192,0.1339272
cg18001427,0.1636144
cg18003795,0.9412137
cg18031008,0.04891515
cg18055007,0.159478218
cg18117393,0.9282196
cg18139769,0.514293
cg18180783,0.9394395
cg18241647,0.9219221
cg18267374,0.1030253
cg18303397,0.6159163
cg18328933,0.6800182
cg18335931,0.3302987
cg18384097,0.06369943
cg18392482,0.7743827
cg18440048,0.1823204
cg18442362,0.2706044
cg18468088,0.148487964
cg18468844,0.7848107
cg18501647,0.7119958
cg18573383,0.0755026
cg18582260,0.255050508
cg18587364,0.04500621
cg18633600,0.2167648
cg18691434,0.1598505
cg18693704,0.152976
cg18732541,0.07146676
cg18738190,0.5703586
cg18771300,0.4914006
cg18809289,0.1113713
cg18881501,0.3099839
cg18933331,0.4651907
cg18956095,0.07040547
cg18983672,0.9292673
cg18984151,0.2279839
cg18996776,0.02799569
cg19008809,0.03203743
cg19015086,0.4278255
cg19028160,0.04400488
cg19044674,0.03819178
cg19104072,0.03561445
cg19149785,0.799108
cg19167673,0.1033566
cg19269039,0.3830811
cg19283806,0.198420135
cg19287114,0.03232768
cg19297232,0.7581935
cg19305227,0.9181147
cg19345165,0.013738765
cg19346193,0.8935452
cg19356189,0.4031661
cg19371795,0.3387702
cg19378133,0.2537413
cg19381811,0.1665809
cg19398783,0.02794982
cg19420968,0.9334304
cg19439331,0.04318991
cg19478743,0.04125131
cg19497517,0.292321767
cg19514469,0.6775688
cg19514928,0.07002708
cg19556572,0.8372753
cg19560210,0.9345628
cg19566405,0.182871
cg19573166,0.4074369
cg19586576,0.1041248
cg19615059,0.1885347
cg19632206,0.0666413
cg19663246,0.4430566
cg19663795,0.06838798
cg19685066,0.8262798
cg19686152,0.6510396
cg19692710,0.8964762
cg19693031,0.6728172
cg19702785,0.1454912
cg19706682,0.1639859
cg19722847,0.1326114
cg19724470,0.2458478
cg19731122,0.5128651
cg19761273,0.2091371
cg19853760,0.5332277
cg19859445,0.9187354
cg19883905,0.0748679
cg19935065,0.5321693
cg20052760,0.2510539
cg20063906,0.1193129
cg20066677,0.9525936
cg20090497,0.9076253
cg20100381,0.06474649
cg20102280,0.4143164
cg20162159,0.0370142
cg20173259,0.06435333
cg20234170,0.04924101
cg20240860,0.1854438
cg20295671,0.010211292
cg20305610,0.03965648
cg20397034,0.027307463
cg20404336,0.2501569
cg20426994,0.067914291
cg20492933,0.03836934
cg20524216,0.04268599
cg20540209,0.020555687
cg20550118,0.1255997
cg20570279,0.2112128
cg20572838,0.04705939
cg20652640,0.0386144
cg20654468,0.09972353
cg20665157,0.6958685
cg20669012,0.2466325
cg20692569,0.533216
cg20755989,0.8469249
cg20761322,0.1214879
cg20795863,0.9387233
cg20822990,0.3284462
cg20828084,0.828663354
cg20891917,0.8288937
cg20914508,0.1336626
cg20947775,0.05358459
cg20967028,0.9262956
cg20999813,0.03126089
cg21006686,0.6070519
cg21053529,0.07083209
cg21081971,0.4695986
cg21096399,0.1706365
cg21099326,0.011488143
cg21120249,0.5862573
cg21137706,0.04192969
cg21184495,0.0269119
cg21184711,0.7450464
cg21200703,0.3908643
cg21201109,0.6975043
cg21205978,0.1278101
cg21207418,0.8518782
cg21211748,0.07483618
cg21254939,0.2034096
cg21296230,0.1746422
cg21305265,0.03062576
cg21363706,0.933241
cg21370143,0.8737666
cg21378206,0.944933604
cg21395782,0.05779274
cg21460081,0.016344372
cg21467614,0.073658406
cg21566642,0.483501193
cg21572722,0.4288929
cg21649520,0.8858193
cg21712685,0.05023811
cg21743182,0.871552
cg21747310,0.7665937
cg21762589,0.6735192
cg21801378,0.024392724
cg21815258,0.9403489
cg21835643,0.1774603
cg21870884,0.2686079
cg21874213,0.6782674
cg21878650,0.1575619
cg21907579,0.1264849
cg21911021,0.2240137
cg21926612,0.2941427
cg21940708,0.9123084
cg21950518,0.09717504
cg21992250,0.2491988
cg21993406,0.6442356
cg22006386,0.05121685
cg22016779,0.2203544
cg22061831,0.015448129
cg22090592,0.6162878
cg22158769,0.012322027
cg22171829,0.3059055
cg22179082,0.1071486
cg22190114,0.9214143
cg22194129,0.6740872
cg22197830,0.7103757
cg22213242,0.88604479
cg22264409,0.7925143
cg22282672,0.2219781
cg22285878,0.02243716
cg22289837,0.3830202
cg22372849,0.5871914
cg22395019,0.06384917
cg22396353,0.012715708
cg22407458,0.028081822
cg22432269,0.02915273
cg22449114,0.3854015
cg22454769,0.619284638
cg22473095,0.03122785
cg22484793,0.7932537
cg22495124,0.9528234
cg22507023,0.247344977
cg22511262,0.1284843
cg22512531,0.8347029
cg22512670,0.586224782
cg22568540,0.9093177
cg22580353,0.4131848
cg22582569,0.0247209
cg22594309,0.015894976
cg22613010,0.04028482
cg22637507,0.03627948
cg22679120,0.7826208
cg22736354,0.2712552
cg22796704,0.5659862
cg22809047,0.7780227
cg22827210,0.1181501
cg22843803,0.2357674
cg22851420,0.127871004
cg22901840,0.7458608
cg22920873,0.007792386
cg22943590,0.5621082
cg22947000,0.4149177
cg22971191,0.8770173
cg22982767,0.05561443
cg22983092,0.803545996
cg22991148,0.09906235
cg23028740,0.9247264
cg23045908,0.08025822
cg23077820,0.5570213
cg23092072,0.03357344
cg23124451,0.4854101
cg23127998,0.2435123
cg23152772,0.2963564
cg23159337,0.5117233
cg23173910,0.9321103
cg23180365,0.010009775
cg23191950,0.2439371
cg23213217,0.4097562
cg23234999,0.8895373
cg23239039,0.05011274
cg23239150,0.7476936
cg23338195,0.775253
cg23357533,0.8696059
cg23375552,0.1142867
cg23376526,0.03138174
cg23389651,0.09553788
cg23398076,0.064450838
cg23462687,0.8575234
cg23500537,0.4465611
cg23517605,0.1656099
cg23568913,0.0286083
cg23605843,0.1696141
cg23606718,0.085696483
cg23643435,0.076943774
cg23662675,0.02566157
cg23668631,0.2327785
cg23709172,0.2079099
cg23710218,0.1038579
cg23744638,0.792414784
cg23754392,0.2073311
cg23786576,0.04244292
cg23818978,0.7759716
cg23832061,0.02345114
cg23836737,0.2978485
cg23857078,0.8846265
cg23941599,0.1078585
cg23995914,0.187869578
cg24046474,0.2227437
cg24058132,0.465545
cg24081819,0.06721575
cg24107728,0.646912338
cg24110063,0.8853498
cg24116886,0.9218349
cg24125648,0.1443812
cg24126851,0.8375821
cg24208206,0.05647783
cg24217948,0.674608
cg24254120,0.02542653
cg24262469,0.3712722
cg24304712,0.02050354
cg24332433,0.03724099
cg24375409,0.385716147
cg24407308,0.03303201
cg24450312,0.040547367
cg24493940,0.09382751
cg24505122,0.9086687
cg24505341,0.3578246
cg24556026,0.7355769
cg24580001,0.8948324
cg24651706,0.03328633
cg24674703,0.3871121
cg24834740,0.02854196
cg24838825,0.2109802
cg24843443,0.07532412
cg24888049,0.5928183
cg24888989,0.009335094
cg24899750,0.6452972
cg24921089,0.1830749
cg25005357,0.9367467
cg25022327,0.9442945
cg25070637,0.03593717
cg25092328,0.02833942
cg25101936,0.6613255
cg25135555,0.8501628
cg25136687,0.05484005
cg25148589,0.191049
cg25159610,0.030496734
cg25166896,0.0311316
cg25229964,0.9155691
cg25251635,0.03711265
cg25256723,0.8148848
cg25410668,0.6003719
cg25411725,0.8755384
cg25427880,0.2222882
cg25428451,0.0619911
cg25436157,0.5018709
cg25459323,0.206517
cg25478614,0.4030187
cg25505610,0.02557038
cg25536676,0.1274348
cg25552492,0.1104235
cg25564800,0.1620577
cg25657834,0.1205898
cg25683012,0.04456772
cg25713185,0.2310221
cg25719851,0.2906683
cg25769980,0.9457076
cg25771195,0.611422393
cg25781123,0.06935821
cg25809905,0.6875539
cg25881193,0.02112363
cg25898500,0.04231033
cg25928579,0.07043808
cg25969122,0.05429685
cg26003813,0.09923403
cg26005082,0.05220185
cg26022315,0.09727214
cg26043391,0.02967277
cg26045434,0.1041866
cg26091688,0.03087259
cg26096837,0.2825887
cg26101086,0.9353449
cg26104204,0.036695
cg26109803,0.9032271
cg26162695,0.013933467
cg26201213,0.2989279
cg26212924,0.02827302
cg26219051,0.3245908
cg26297688,0.03826259
cg26312920,0.7729643
cg26350286,0.08895094
cg26357744,0.04950229
cg26372517,0.3897827
cg26382071,0.04210628
cg26394737,0.04553048
cg26394940,0.1272176
cg26453588,0.591636
cg26456957,0.031167844
cg26470501,0.5589968
cg26552743,0.8681996
cg26581729,0.5014637
cg26614073,0.5595175
cg26620959,0.07874544
cg26665419,0.122641
cg26711820,0.4091625
cg26723847,0.07687138
cg26746469,0.8655588
cg26815229,0.08606778
cg26824091,0.09063002
cg26824216,0.05424442
cg26842024,0.09126133
cg26843711,0.1970619
cg26845300,0.065174058
cg26866325,0.08393969
cg26898166,0.07521406
cg26921969,0.2872586
cg26932976,0.02820096
cg26933021,0.6919295
cg26974444,0.8643741
cg26986871,0.1373946
cg27009703,0.0248477
cg27015931,0.09429507
cg27092035,0.04622942
cg27131176,0.3470517
cg27169020,0.4281286
cg27187881,0.1201398
cg27193080,0.8256773
cg27202708,0.3744055
cg27212234,0.04666356
cg27244482,0.7714959
cg27367952,0.0402863
cg27377450,0.9063567
cg27413543,0.04451088
cg27440834,0.8827429
cg27493997,0.1272583
cg27494383,0.03112333
cg27514224,0.9501817
cg27544190,0.08095829
cg27626102,0.1348457
cg27655905,0.03585554
ch.13.39564907R,0.04938884
ch.2.30415474F,0.04967249
