probe,204086170159_R01C01_buccal_pediatric
cg24651706,0.03775677
cg02229946,0.7651552
cg21378206,0.6212492
cg00017842,0.7169307
cg17099569,0.03819251
cg23606718,0.01113773
cg22061831,0.02356652
cg08251036,0.952993
cg14689355,0.05636032
cg08475827,0.04608682
cg12757011,0.1870581
cg01620164,0.9558365
cg05847778,0.01875901
cg13038560,0.6963949
cg03947362,0.01969771
cg11388238,0.14192
cg12105450,0.02663282
cg15344028,0.8204704
cg00760938,0.4462598
cg10376763,0.9237734
cg27367952,0.03499651
cg23077820,0.2536275
cg08166272,0.07953891
cg10523019,0.09980382
cg25713185,0.03599609
cg22016779,0.4907071
cg21566642,0.1164513
cg20795863,0.9015711
cg16354207,0.08412944
cg23462687,0.9157884
cg19028160,0.03073604
cg16816226,0.1254282
cg25781123,0.02889994
cg20669012,0.4374032
cg03183882,0.07855417
cg15910502,0.03153306
cg14550518,0.02706095
cg15611364,0.02628218
cg23180365,0.009347977
cg09294589,0.03648115
cg12941369,0.04636845
cg25411725,0.8062679
cg02244028,0.9093975
cg12413566,0.90401
cg00412805,0.9291946
cg24888989,0.008459794
cg00702638,0.008740434
cg07303143,0.03778674
cg13571802,0.9306933
cg08186124,0.02324996
cg24208206,0.03406354
cg14754581,0.6846477
cg13994175,0.03676365
cg26614073,0.5640077
cg20524216,0.03151299
cg18984151,0.07292905
cg15988232,0.2239473
cg03112869,0.8626226
cg05125838,0.4628598
cg16357381,0.02498651
cg16933388,0.03062585
cg19381811,0.6660302
cg20162159,0.03349641
cg26357744,0.01853045
cg03703325,0.05036929
cg15881088,0.0465381
cg03019000,0.862262
cg01844642,0.2380013
cg04474832,0.2074856
cg18328933,0.5235562
cg03891319,0.03024096
cg03929796,0.2281328
cg22484793,0.625765
cg06134964,0.7769291
cg03607117,0.02310908
cg19008809,0.02361528
cg12991365,0.12328
cg06638451,0.06243125
cg24505341,0.1760391
cg22264409,0.6103534
cg16984944,0.1144804
cg11205552,0.5523393
cg03977782,0.02439235
cg20914508,0.08870141
cg17321954,0.06198293
cg17133388,0.03297848
cg25564800,0.3315767
cg27440834,0.9219663
cg03330058,0.2884464
cg06796779,0.3785308
cg18303397,0.491163
cg27193080,0.8533137
cg02335441,0.03639013
cg15903282,0.5247689
cg07038400,0.05569928
cg12616277,0.0476545
cg09025210,0.7328185
cg14423778,0.4324696
cg15277914,0.4803487
cg24262469,0.02680422
cg07654934,0.02676757
cg07553761,0.0378487
cg18996776,0.02832505
cg02976574,0.9558647
cg06737494,0.06035345
cg01059398,0.7226826
cg00862290,0.8991211
cg04359302,0.8634453
cg11237115,0.02546472
cg22613010,0.03041051
cg26824216,0.4208914
cg00481951,0.02015462
cg25478614,0.04818451
cg23159337,0.0261328
cg14163776,0.2893149
cg11177450,0.04459614
cg07110949,0.9654402
cg10158181,0.02800195
cg17960516,0.02943298
cg13296371,0.03330737
cg23239039,0.04066712
cg01114088,0.159186
cg23239150,0.3973075
cg01519742,0.04277831
cg21254939,0.5433124
cg23995914,0.01509042
cg21200703,0.03874048
cg19398783,0.03092552
cg25769980,0.3509856
cg11903057,0.4987855
cg16358826,0.0697789
cg03103192,0.03703858
cg23836737,0.4278885
cg05960024,0.2445081
cg26866325,0.8884246
cg13843773,0.02643883
cg16744741,0.8673159
cg20947775,0.03447858
cg27413543,0.05556957
cg23092072,0.04257984
cg02827112,0.02304902
cg14105047,0.03821365
cg20305610,0.03846477
cg14972143,0.04159707
cg00230271,0.02316593
cg10699857,0.07581158
cg05024939,0.06583671
cg02735486,0.105916
cg17853587,0.05514418
cg05106770,0.4008569
cg06690548,0.8519986
cg14223995,0.1330344
cg01511232,0.5848852
cg25148589,0.03875104
cg24843443,0.1625971
cg03364683,0.5750252
cg15171237,0.9068679
cg05575921,0.5604062
cg21815258,0.9441345
cg12608692,0.8501982
cg08771731,0.02028143
cg12864235,0.1284468
cg20755989,0.3211222
cg07663789,0.03101465
cg12238343,0.01577261
cg02328239,0.06308021
cg11487705,0.02585794
cg25159610,0.01433452
cg21878650,0.1025193
cg21993406,0.23252
cg26921969,0.04533489
cg10837404,0.0436356
cg23941599,0.08354842
cg22282672,0.0379214
cg02631957,0.04156584
cg01883408,0.2659112
cg00943950,0.04096918
cg22197830,0.475394
cg06448705,0.05742249
cg16983159,0.1389569
cg08234504,0.4159658
cg11006267,0.01666066
cg06994793,0.02321395
cg23500537,0.1671133
cg05898102,0.08497079
cg06327515,0.1616939
cg26843711,0.05658938
cg12145907,0.09631149
cg08587542,0.0832756
cg27244482,0.863535
cg10345936,0.7675095
cg16281600,0.1839078
cg20492933,0.02302336
cg03555227,0.0927463
cg14345676,0.1530161
cg27092035,0.04897157
cg06189653,0.05689437
cg14314729,0.392674
cg23517605,0.03626398
cg01570885,0.5191347
cg13654195,0.04155976
cg23375552,0.1294129
cg20052760,0.3147385
cg16867657,0.03803232
cg21572722,0.08305603
cg00194146,0.09491723
cg01527307,0.7122815
cg22736354,0.07168251
cg06171242,0.05285905
cg10699171,0.598956
cg06493994,0.05874185
cg25881193,0.03200627
cg04424621,0.08048789
cg14258236,0.8142653
cg09196959,0.8357341
cg02281167,0.1055462
cg03771840,0.03570391
cg06685111,0.1424724
cg06462220,0.2139324
cg08420066,0.4680672
cg03270204,0.05005151
cg16150435,0.8849925
cg08424423,0.9123547
cg00486113,0.06363138
cg09045681,0.03313061
cg21467614,0.09518201
cg12753631,0.2427855
cg18055007,0.05051577
cg18501647,0.4709784
cg04576021,0.7269551
cg10192196,0.01723248
cg22407458,0.02060138
cg18468088,0.01179587
cg21712685,0.03442278
cg05759269,0.02574364
cg26824091,0.03187372
cg09322949,0.03367282
cg03894990,0.7182171
cg01740766,0.436607
cg01946401,0.9006001
cg04452713,0.3350125
cg02217159,0.2080457
cg16255583,0.771737
cg26665419,0.1926034
cg04642300,0.477828
cg10940099,0.01269119
cg23832061,0.02098192
cg25136687,0.03917471
cg17266282,0.1094936
cg15381769,0.02556689
cg07095347,0.6998131
cg03340261,0.02573891
cg15804973,0.0538478
cg15185286,0.04029005
cg13001142,0.7330742
cg00073460,0.7700883
cg26620959,0.08614148
cg16333846,0.5717278
cg26845300,0.01624707
cg13221458,0.5631683
cg21926612,0.06626487
cg05468948,0.2352629
cg05089968,0.7772887
cg10865119,0.09438632
cg00795927,0.9093307
cg08911208,0.7701093
cg22372849,0.7101215
cg16012294,0.7384668
cg22679120,0.4513337
cg06363129,0.04118001
cg02480835,0.01755131
cg13931228,0.04022025
cg27009703,0.0859374
cg11671968,0.9050369
cg26312920,0.6713307
cg01353448,0.2477711
cg19663246,0.7297649
cg14396995,0.187426
cg18442362,0.02435571
cg00945507,0.04686748
cg09748749,0.6887251
cg20692569,0.04871668
cg00955230,0.03863439
cg09434995,0.812755
cg23857078,0.904087
cg27626102,0.08010124
cg21743182,0.3048875
cg07236943,0.0361527
cg03682823,0.5159598
cg18139769,0.5161598
cg22171829,0.3319328
cg09436502,0.405604
cg00503840,0.5716343
cg01626227,0.05538895
cg18691434,0.0334643
cg15547534,0.03086217
cg08487374,0.03171327
cg25251635,0.04149231
cg01584473,0.7894228
cg04084157,0.0897537
cg17923358,0.04116008
cg20891917,0.2850272
cg14175438,0.218479
cg20665157,0.4701003
cg21184711,0.6343752
cg08586737,0.1770767
cg02383785,0.0246178
cg15447479,0.05188672
cg00845900,0.5922346
cg13975369,0.07839114
cg04528819,0.03930337
cg20426994,0.01396631
cg08097417,0.07045203
cg07955995,0.01942115
cg22285878,0.02931714
cg06533629,0.08886888
cg02821342,0.7793378
cg20397034,0.1825271
cg03473532,0.9199879
cg14009688,0.02514751
cg08434234,0.01649404
cg22920873,0.008001842
cg08280936,0.08883491
cg04999691,0.5781223
cg08540945,0.02058684
cg13258700,0.04990423
cg17536848,0.03246138
cg26101086,0.9111925
cg14501253,0.06615988
cg21363706,0.8488388
cg19859445,0.7761253
cg26045434,0.02965692
cg25552492,0.07042193
cg05365729,0.1550437
cg00410898,0.1302533
cg07502389,0.04377541
cg18267374,0.03149941
cg21305265,0.02424393
cg21099326,0.01087623
cg24081819,0.03895562
cg13351161,0.4864345
cg14658362,0.02189418
cg00297600,0.554558
cg02388150,0.04446062
cg14408969,0.03300849
cg16241714,0.009885834
cg00582628,0.2433154
cg16419235,0.01786501
cg04333463,0.02795038
cg08090772,0.03124994
cg23710218,0.04961476
cg21649520,0.8380236
cg07583137,0.2162595
cg22289837,0.6944628
cg12402251,0.02519303
cg26350286,0.09346206
cg25070637,0.03694065
cg13700897,0.05625722
cg23338195,0.9086873
cg05755779,0.9004307
cg14409958,0.2789943
cg18956095,0.05753329
cg05316065,0.03747082
cg02503970,0.02653863
cg07770222,0.03523065
cg19497517,0.2312138
cg26212924,0.02842338
cg13586038,0.6696713
cg19724470,0.2041169
cg07211259,0.04082835
cg17009433,0.04203342
cg00079056,0.9033317
cg12188560,0.07208862
cg09722555,0.9233574
cg24556026,0.470264
cg04094160,0.02670441
cg07158339,0.4061226
cg14350002,0.06196157
cg10900550,0.1014944
cg19287114,0.02726156
cg16295988,0.04330697
cg17749443,0.03653168
cg19556572,0.9039
cg15551881,0.9122595
cg11299964,0.03164405
cg24046474,0.03337568
cg04416752,0.03426373
cg27514224,0.9412964
cg01027739,0.02481271
cg02802055,0.02073548
cg14059835,0.4222179
cg09191327,0.02398292
cg23152772,0.3199009
cg07285276,0.6912719
cg10570177,0.09773978
cg13649056,0.03032947
cg16408394,0.02810483
cg13734401,0.6802545
cg02332492,0.409798
cg21120249,0.4847277
cg26581729,0.593481
cg06231995,0.04365519
cg14411282,0.7230059
cg12530994,0.3859136
cg17526300,0.01625476
cg23754392,0.5054753
cg06908778,0.06530805
cg17431739,0.02577111
cg16408970,0.06820199
cg01656216,0.3827524
cg00168942,0.7979725
cg17324128,0.3507205
cg18809289,0.05990874
cg05441133,0.9148986
cg22796704,0.08298985
cg09019938,0.02591692
cg19439331,0.03388872
cg13409216,0.02135771
cg13129046,0.2827574
cg01560871,0.9060439
cg04268405,0.9327429
cg18738190,0.7133129
cg13323474,0.01817015
cg18180783,0.9063621
cg04126866,0.5150703
cg12261786,0.0284573
cg16340918,0.01919013
cg09480837,0.8855499
cg19935065,0.3564115
cg26109803,0.8896206
cg25427880,0.1307441
cg13449372,0.8873815
cg09671951,0.4338023
cg06888746,0.02611172
cg24838825,0.4324016
cg13848598,0.126674
cg07906193,0.725302
cg19346193,0.7022121
cg26201213,0.2381906
cg21762589,0.03309156
cg15856055,0.06431784
cg17770886,0.03364053
cg00436603,0.6924333
cg15498283,0.00955173
cg12776156,0.3360866
cg05928581,0.4647862
cg17627559,0.6754914
cg07484827,0.4687749
cg24126851,0.425197
cg23091758,0.02121796
cg23744638,0.879491
cg24921089,0.05692436
cg13216057,0.02355141
cg04940570,0.01971641
cg05532892,0.02022668
cg06295856,0.02725712
cg10825530,0.04246266
cg12743894,0.02247324
cg22511262,0.03597366
cg25505610,0.0214198
cg06513075,0.02598756
cg20234170,0.04246846
cg22637507,0.03972274
cg20240860,0.04323145
cg24407308,0.03589082
cg21370143,0.7988557
cg19345165,0.01024304
cg01511567,0.1303577
cg20654468,0.5428775
cg21992250,0.1071029
cg24674703,0.8607305
cg15015340,0.206238
cg24580001,0.3231473
cg04480914,0.03703181
cg22843803,0.02292628
cg08965235,0.08083242
cg02532488,0.08061704
cg13547237,0.178856
cg15887846,0.4119809
cg01128603,0.02974651
cg11067179,0.6565245
cg22213242,0.8404419
cg06419846,0.9375695
cg05496363,0.6175347
cg19104072,0.04718308
cg05087948,0.03890629
cg14916213,0.02661601
cg12473775,0.1688648
cg11600161,0.81088
cg07730301,0.5537152
cg27655905,0.02236669
cg26096837,0.6277331
cg05492270,0.01982186
cg06637774,0.02817221
cg19692710,0.7141474
cg16547529,0.3496298
cg20063906,0.1434699
cg12328429,0.7756425
cg17063929,0.6148085
cg14727952,0.03717456
cg16466334,0.8681303
cg13613532,0.03304188
cg22582569,0.02491478
cg05697249,0.0288891
cg25101936,0.5741393
cg20570279,0.06804092
cg15427448,0.01154891
cg23818978,0.8610902
cg09096950,0.294343
cg13656360,0.04697148
cg21096399,0.0469582
cg25969122,0.06058492
cg22512531,0.9142138
cg10377274,0.8335938
cg01234063,0.07512547
cg25022327,0.04714947
cg02046143,0.159444
cg26723847,0.03341952
cg15966757,0.3465783
cg24505122,0.1556145
cg18633600,0.02928625
cg08622677,0.056649
cg16579101,0.02980589
cg01820374,0.6369729
cg25719851,0.0446986
cg22194129,0.4861056
cg13828440,0.7123258
cg26986871,0.7914445
cg20090497,0.8553346
cg00748589,0.02652564
cg21747310,0.8503462
cg20967028,0.9519977
cg00431549,0.8577522
cg13302154,0.06574451
cg13909661,0.9759594
cg19722847,0.04552583
cg17726022,0.02201842
cg13307384,0.1983231
cg13510262,0.03754813
cg08900043,0.07652404
cg16718891,0.03954143
cg17605084,0.8289375
cg09304040,0.04675644
cg10878896,0.01662366
cg25683012,0.01911728
cg00753885,0.7812683
cg02364642,0.1466094
cg21137706,0.02713184
cg10654016,0.01194614
cg14281160,0.02128887
cg18573383,0.01958328
cg11631518,0.02458177
cg15405572,0.6929949
cg09418283,0.01278939
cg00864867,0.01361277
cg26711820,0.6564686
cg01528542,0.7365861
cg07498421,0.06605809
cg17641104,0.0408413
cg08993878,0.7863101
cg15381313,0.6847232
cg03535648,0.9464161
cg15963417,0.02446753
cg06462291,0.0676929
cg16085042,0.04798051
cg22827210,0.3327649
cg26297688,0.01843326
cg01335367,0.04026159
cg19615059,0.06142596
cg10591174,0.5007642
cg04596060,0.04098631
cg21907579,0.0438789
cg10281002,0.04604986
cg21006686,0.6031109
cg00113951,0.0307036
cg13861644,0.8695987
cg08169325,0.09726927
cg24493940,0.07990995
cg20066677,0.8427934
cg00338702,0.0263217
cg07172885,0.07102339
cg20404336,0.123117
cg18582260,0.7836128
cg22179082,0.03381071
cg08529529,0.8382898
cg24254120,0.02874834
cg21081971,0.4352083
cg06648759,0.05807805
cg23357533,0.7275604
cg20102280,0.7853531
cg13767001,0.1361968
cg23389651,0.2622461
cg04836038,0.03307677
cg22971191,0.7838364
cg09646392,0.81461
cg00593462,0.584864
cg03623878,0.1301926
cg04718414,0.01212499
cg13718960,0.8600144
cg01027805,0.06063203
cg26394737,0.04335283
cg03565081,0.08684569
cg19573166,0.2615523
cg07850604,0.02386068
cg07115626,0.3145387
cg06738602,0.105895
cg01254459,0.02853924
cg03724882,0.02612288
cg15661409,0.914445
cg03032497,0.2388548
cg18771300,0.7079075
cg16319578,0.03895012
cg10225525,0.8388564
cg11490446,0.05712574
cg09133026,0.7740645
cg13550877,0.927291
cg16372520,0.3212612
cg12269343,0.02700724
cg24058132,0.517916
cg03588357,0.03842659
cg13027206,0.3207651
cg15480367,0.07019633
cg16034652,0.3197342
cg12177001,0.7963596
cg23709172,0.5875151
cg09556292,0.04328998
cg14334310,0.6336987
cg15569512,0.02516979
cg22090592,0.3928292
cg16313343,0.04931693
cg22432269,0.03652708
cg23234999,0.5735406
cg04014889,0.7389624
cg13836627,0.02339996
cg04875128,0.01001432
cg21296230,0.07065533
cg21053529,0.05153878
cg16543027,0.613461
cg02071305,0.1274547
cg27494383,0.0217392
cg24125648,0.2631318
cg03286783,0.02377672
cg06121469,0.02210933
cg19305227,0.8442591
cg03361973,0.5126908
cg16717122,0.0861698
cg19686152,0.3529676
cg04858164,0.9105857
cg25005357,0.9347676
cg08454546,0.8895324
cg06993413,0.03802337
cg00687674,0.02601673
cg03578041,0.3097353
cg04616566,0.4063705
cg21801378,0.01149596
cg15188939,0.6580219
cg00075967,0.1542432
cg13828047,0.1909484
cg20540209,0.07714994
cg20761322,0.06449463
cg20550118,0.06169699
cg03399905,0.02721493
cg20828084,0.6241408
cg27169020,0.223943
cg13042288,0.9020964
cg24888049,0.4328021
cg17338403,0.05845522
cg05501584,0.1939067
cg08370996,0.03499844
cg23191950,0.4721316
cg14747225,0.02776773
cg05542681,0.02038954
cg16899442,0.06492375
cg08949164,0.04386008
cg09183146,0.1186906
cg00454305,0.1625087
cg06810647,0.02672005
cg25898500,0.06018065
cg02871659,0.06649596
cg08331960,0.3263389
cg02331561,0.009334107
cg06361108,0.02619096
cg09548179,0.03424818
cg26091688,0.02043083
cg14654875,0.4779236
cg19378133,0.1143942
cg04007936,0.8833372
cg26974444,0.6573588
cg27015931,0.07192294
cg15703512,0.07047743
cg26003813,0.0515824
cg06112560,0.6813612
cg04416734,0.1564227
cg19663795,0.8534058
cg10917602,0.06508576
cg09155044,0.8518253
cg24110063,0.7422865
cg04031656,0.5324654
cg00000029,0.1075435
cg06688848,0.03813115
cg03746976,0.4711507
cg25771195,0.3551067
cg18693704,0.02979761
cg20100381,0.04794345
cg17896249,0.038746
cg19514469,0.08572829
cg10922280,0.8311392
cg19297232,0.3703193
cg17655614,0.07342344
cg12265604,0.02827026
cg00658652,0.4543832
cg07817698,0.03556243
cg03991512,0.3906957
cg22947000,0.05204002
cg19706682,0.1407027
cg01211097,0.1256858
cg20999813,0.0398514
cg07929310,0.02596696
cg07082267,0.07825829
cg10920957,0.02236279
cg03486383,0.8885311
cg20652640,0.04623123
cg03819692,0.231905
cg19731122,0.5360076
cg05903609,0.08873746
cg26932976,0.02352738
cg02228185,0.7448215
cg23668631,0.3019128
cg19478743,0.03203222
cg14522800,0.03540055
cg14723032,0.4473521
cg26382071,0.01819597
cg03760483,0.0429954
cg14918082,0.05526536
cg01056568,0.517553
cg25135555,0.4712783
cg26162695,0.01104002
cg02016419,0.2029466
cg03565323,0.1884227
cg11024682,0.8496251
cg18881501,0.2345908
cg13564075,0.0189357
cg13029847,0.02889499
cg06144905,0.1543536
cg14692377,0.009486931
cg21184495,0.0230559
cg11833861,0.06425752
cg08124722,0.9265241
cg06557358,0.04294088
cg19566405,0.4081315
cg01485645,0.1585299
cg12247247,0.03240148
cg11896923,0.2821512
cg08074477,0.08256616
cg22983092,0.7141351
cg00091693,0.69974
cg02580606,0.917453
cg01131735,0.02629367
cg06874016,0.2622765
cg09509673,0.9072039
cg06975499,0.02553451
cg05270634,0.01667972
cg00462994,0.04505466
cg25809905,0.858154
cg19586576,0.03458445
cg21460081,0.01494876
cg25928579,0.05088307
cg26022315,0.0268003
cg17129388,0.6822177
cg20572838,0.03824457
cg04267101,0.5514301
cg17686885,0.1232448
cg22507023,0.09629038
cg02867102,0.06912005
cg01261503,0.1304311
cg22495124,0.9417227
cg09892203,0.008133825
cg00374717,0.9399811
cg13093111,0.4847294
cg24332433,0.02848538
cg13683374,0.4378364
cg09722397,0.05044277
cg04121983,0.03821596
cg10644544,0.01745692
cg11653266,0.02361011
cg16419345,0.02651199
cg03643998,0.3169596
cg19761273,0.07759841
cg01137065,0.0200144
cg19883905,0.06200871
cg00335286,0.0999155
cg12985418,0.02194022
cg25436157,0.596244
cg14894144,0.1485569
cg24217948,0.8744167
cg17589341,0.4149294
cg17243289,0.07840358
cg12459502,0.7509269
cg05851163,0.03052373
cg19283806,0.1674334
cg08035942,0.06717578
cg10486998,0.03209714
cg09441152,0.02803028
cg07073964,0.8831908
cg04601137,0.07015024
cg05473871,0.04461061
cg09630437,0.05746942
cg12946225,0.04544841
cg13509147,0.1711596
cg10052840,0.5427231
cg01400401,0.04150108
cg02479575,0.01060772
cg26005082,0.02598113
cg14308452,0.2268942
cg13120519,0.05511077
cg03258472,0.2331337
cg02085507,0.2793638
cg19371795,0.2089106
cg27377450,0.8775372
cg18732541,0.6098937
cg11766468,0.1815285
cg09799873,0.03294368
cg05250458,0.08260801
cg18587364,0.03960085
cg08896629,0.01983696
cg21201109,0.7838454
cg21207418,0.07865483
cg08694544,0.02618359
cg15341340,0.03925396
cg10586358,0.2273855
cg16854606,0.2661582
cg03172991,0.211546
cg15013019,0.05115198
cg11025793,0.03904226
cg02489552,0.06822876
cg14556683,0.0115432
cg07408456,0.3140867
cg13656062,0.8463535
cg26842024,0.06434473
cg03636183,0.6252035
cg01252496,0.1483551
cg18335931,0.3911429
cg17861230,0.01307452
cg13899108,0.2583748
cg06952310,0.7062671
cg21395782,0.0353576
cg10669058,0.3526273
cg10498798,0.4603902
cg27212234,0.02632892
cg03007010,0.0313634
cg17110586,0.05280025
cg12830694,0.1506803
cg00412772,0.03508636
cg22006386,0.02709442
cg02197293,0.02551483
cg26104204,0.0247513
cg05921699,0.6746463
cg12768605,0.1432602
cg22580353,0.445955
cg26470501,0.5019243
cg13119609,0.8318544
cg15642326,0.0333077
cg07291563,0.02269027
cg15974053,0.1185708
cg20173259,0.03379817
cg14060828,0.1782602
cg21940708,0.9051904
cg12289045,0.4638236
cg19149785,0.8339613
cg09254939,0.03713964
cg11459714,0.01902881
cg19356189,0.09688423
cg05294243,0.02232082
cg15811427,0.7041943
cg01930621,0.02511982
cg07455279,0.1239524
cg26456957,0.02653711
cg22190114,0.915148
cg06458239,0.03690263
cg10729426,0.05759345
cg21911021,0.02165219
cg01644850,0.02287291
cg08668790,0.03062286
cg22568540,0.5633761
cg24116886,0.9145812
cg22449114,0.09282554
cg16173067,0.317764
cg14159818,0.05698905
cg23127998,0.02981198
cg24899750,0.6996941
cg03387497,0.7767456
cg22473095,0.03514637
cg17729667,0.04093075
cg02151301,0.1898544
cg01221637,0.04256146
cg02309431,0.8792581
cg25092328,0.0258189
cg13514050,0.01944975
cg00350702,0.02415705
cg26746469,0.515122
cg24834740,0.02724749
cg01623187,0.6807981
cg19702785,0.0710516
cg18241647,0.9298168
cg21835643,0.315412
cg07547549,0.04833861
cg23662675,0.01916301
cg12303084,0.04696523
cg06926735,0.01825465
cg08899632,0.02489597
cg12813792,0.2306377
cg14597908,0.5096274
cg20674577,0.1099927
cg02047577,0.01108668
cg13218906,0.03119891
cg00744433,0.1270824
cg03167275,0.0597639
cg18001427,0.1146684
cg27544190,0.03550949
cg13854874,0.06423766
cg13460409,0.1562269
cg01262913,0.6958386
cg17274064,0.2013232
cg09428349,0.03898037
cg06500161,0.6780457
cg07494518,0.04473266
cg10636297,0.2785072
cg22991148,0.02506458
cg12373771,0.03028661
cg18003795,0.9100112
cg25166896,0.04202759
cg05442902,0.3016412
cg20295671,0.01230491
cg18440048,0.02522667
cg07849904,0.05054388
cg01407797,0.09118762
cg19015086,0.2062436
cg23568913,0.02161646
cg14473016,0.01922701
cg21205978,0.1205421
cg01949403,0.718538
cg08415592,0.6518556
cg19853760,0.3409907
cg01441777,0.0401764
cg23124451,0.2259283
cg25459323,0.1953664
cg27187881,0.1398036
cg26453588,0.1721719
cg00343092,0.02748402
cg26219051,0.0848189
cg00347775,0.607453
cg04755031,0.04027912
cg26394940,0.03876836
cg13269407,0.05353093
cg27131176,0.1716657
cg22982767,0.1113025
cg22396353,0.01238986
cg07016730,0.5947388
cg17285325,0.01129867
cg00083937,0.5619858
